antecedent,consequent,weight,source_row
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Low AND CO2=Normal AND Wind=Medium AND N=High AND E=Normal AND W=3,Good,0.3714102616956274,55
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Low AND Solar=High AND CO2=Normal AND Wind=Low AND N=Normal AND E=Normal AND W=3,Good,0.3581470701666859,56
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Low AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Low AND W=3,Good,0.344648757630765,57
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=1,Acceptable,0.3471988810915178,58
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Low AND Solar=High AND CO2=Normal AND Wind=Medium AND N=High AND E=Normal AND W=3,Good,0.4744374633571325,59
Tin=Normal AND Tout=Cold AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=3,Acceptable,0.4731800766283523,60
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Wet AND L=High AND Solar=Low AND CO2=Normal AND Wind=High AND N=High AND E=Normal AND W=2,Poor,0.3750681737937714,61
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Low AND Solar=Normal AND CO2=Normal AND Wind=Low AND N=Normal AND E=Normal AND W=0,Acceptable,0.3413017818818404,62
Tin=Normal AND Tout=Hot AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Low AND Wind=Medium AND N=High AND E=Normal AND W=0,Acceptable,0.5279576124022616,63
Tin=Normal AND Tout=Normal AND Hin=Dry AND Hout=Normal AND L=Normal AND Solar=High AND CO2=Normal AND Wind=Medium AND N=High AND E=Normal AND W=3,Acceptable,0.3970974730769768,64
Tin=Cold AND Tout=Normal AND Hin=Normal AND Hout=Wet AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Low AND E=Low AND W=0,Acceptable,0.3656827626219132,65
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Low AND Solar=Normal AND CO2=High AND Wind=Medium AND N=Low AND E=Normal AND W=3,Acceptable,0.3813962762412359,66
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Low AND Solar=Normal AND CO2=High AND Wind=Low AND N=High AND E=Normal AND W=3,Good,0.4349504078290536,67
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Low AND Solar=High AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=3,Good,0.3646142796811178,68
Tin=Normal AND Tout=Normal AND Hin=Dry AND Hout=Normal AND L=Low AND Solar=Normal AND CO2=Low AND Wind=Low AND N=Normal AND E=Normal AND W=3,Acceptable,0.3478009794494409,69
Tin=Normal AND Tout=Cold AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Normal AND E=High AND W=0,Acceptable,0.4425066143050819,70
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Dry AND L=Low AND Solar=Normal AND CO2=Normal AND Wind=Low AND N=High AND E=Normal AND W=3,Good,0.3626700276145818,71
Tin=Normal AND Tout=Normal AND Hin=Wet AND Hout=Wet AND L=Normal AND Solar=Low AND CO2=Normal AND Wind=Low AND N=High AND E=Normal AND W=1,Acceptable,0.434597138068918,72
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Low AND Solar=High AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=3,Good,0.3579900329651474,73
Tin=Cold AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=High AND N=Normal AND E=Normal AND W=3,Poor,0.4546007576302645,74
Tin=Hot AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Low AND N=High AND E=Normal AND W=0,Acceptable,0.3337982105013281,75
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Low AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Low AND E=Normal AND W=3,Good,0.3662970927710791,76
